id,wenzitext,errortext,clicktimes,tips1,tips2
1,皑如山上雪，皎若云间月。,6,3,卓文君《白头吟》,爱像山上的雪一般纯洁，像云间月亮一样皎洁
2,白骨露于野，千里无鸡鸣,5,3,曹操《蒿里行》,白骨曝露于荒野之地，方圆千里都没有人烟
3,白马饰金羁，连翩西北驰,5,3,曹植《白马篇》,白色的战马饰着金黄的笼头，向西北飞驰
4,百川东到海，何时复西归？,6,3,佚名《长歌行》,百川奔腾着向东流入大海，何时才能重新返回
5,败军之将，不可以言勇,5,3,司马迁《史记·淮阴侯列传》,失败了的将军，不可以再谈勇敢
6,悲歌可以当泣，远望可以当归,6,3,佚名《悲歌》,悲歌代替思家的哭泣，登高望远就当做回了家
7,北方有佳人，绝世而独立,5,3,李延年《李延年歌》,北方有一位举世无双的美人，超俗而出众
8,本是同根生，相煎何太急？,6,3,曹植《七步诗》,劝谏曹丕放过自己
9,不鸣则已，一鸣惊人。,5,3,司马迁《滑稽列传》,不鸣叫则罢，一鸣叫就震惊世人
10,仓廪实而知礼节，衣食足而知荣辱,7,3,司马迁《货殖列传序》,物质是精神进步的基础
11,草木秋死，松柏独在,4,3,刘向《说苑·谈丛》,草木到秋天都死了，松柏在冬天仍然生机盎然
12,苟全性命于乱世，不求闻达于诸侯,7,3,诸葛亮《出师表》,只想在乱世中保全性命，不奢求在诸侯中出名
13,出门无所见，白骨蔽平原,5,3,王粲《七哀诗三首·其一》,走出门一无所见，只有堆堆白骨遮蔽了郊原
14,楚虽三户，亡秦必楚,4,3,司马迁《史记·项羽本纪》,即使楚国只剩下三个氏族，也能灭掉秦国
15,大道之行也，天下为公,5,3,语出《礼记》,大道实行的时代，天下是公共的
16,但为君故，沉吟至今。,5,3,曹操《短歌行》,只是因为您的缘故，让我沉痛吟诵至今
17,得黄金百，不如得季布一诺,6,3,司马迁《史记-季布栾布列传》,与其获得百斤黄金，不如得到季布的一个承诺
18,东临碣石，以观沧海。,5,3,曹操《观沧海》,东行登上高高的碣石山，来观赏苍茫的大海
19,对酒当歌，人生几何！,5,3,曹操《短歌行》,一边喝酒一边高歌，人生的岁月有多少
20,君子之行，静以修身，俭以养德,7,3,诸葛亮《诫子书》,诸葛亮劝诫自己儿子要学会修身养性
21,父之雠，弗与共戴天,4,3,语出《礼记·曲礼上》,杀父之仇不能生活在同一片天空之下
22,高树多悲风，海水扬其波,5,3,曹植《野田黄雀行》,高树时常受到狂风的摧残，海面经常起波浪
23,高台多悲风，朝日照北林。,6,3,曹植《杂诗七首》,高台上常常吹着悲风，早晨的太阳照着北林
24,苟利国家，不求富贵,4,3,语出《礼记·儒行》,只要能为国家造福，自己并不想得到什么赏赐
25,归来宴平乐，美酒斗十千。,6,3,曹植《名都篇》,归来设宴平乐观，喝着名贵的酒纵情地欢乐
26,何以解忧？唯有杜康。,5,3,曹操《短歌行》,用什么来排解忧闷
27,河汉清且浅，相去复几许。,6,3,佚名《迢迢牵牛星》,这银河看起来又清又浅，两岸相隔又有多远呢
28,胡马依北风，越鸟巢南枝。,6,3,佚名《行行重行行》,北方的马依恋北风，南方的鸟巢于向南的树枝
29,江南可采莲，莲叶何田田,5,3,佚名《江南》,到了适宜采莲的季节，莲叶层层叠叠
30,谨于言而慎于行,3,3,语出《礼记·缁衣》,说话开口要谨慎，行为举止要端正
31,橘生淮南则为橘，生于淮北则为枳,7,3,刘向《晏子使楚》,同一样东西，在不同的环境下会有不同的结果
32,捐躯赴国难，视死忽如归！,6,3,曹植《白马篇》,为国家解危难奋勇献身，死亡看得像回家一样
33,君子以义死难，视死如归,5,3,《后汉书·周黄徐姜申屠列传》,为了正义而勇于牺牲自己的生命
34,慨当以慷，忧思难忘。,5,3,曹操《短歌行》,宴会上歌声慷慨激昂，心中的忧愁却难以遗忘
35,客从远方来，遗我双鲤鱼,5,3,佚名《饮马长城窟行》,客人从远方来，送给带来了书信
36,老骥伏枥，志在千里,4,3,曹操《龟虽寿》,千里马不会因为年纪大而忘记自己是千里马
37,烈士暮年，壮心不已,4,3,曹操《龟虽寿》,有远大抱负的人到了晚年，雄心也不会停息
38,凌波微步，罗袜生尘。,5,3,曹植《洛神赋》,她在水波上行走，罗袜溅起的水沫如同尘埃
39,明犯强汉者，虽远必诛,5,3,出自西汉名将陈汤给汉元帝的上书,让匈奴知道侵犯强大的汉朝的后果
40,人生天地间，忽如远行客。,6,3,佚名《青青陵上柏》,人生活在天地之间，就好比远行匆匆的过客
41,山不厌高，海不厌深,4,3,曹操《短歌行》,高山不辞土石才巍峨，大海不弃涓流才壮阔
42,山无陵，江水为竭。,4,3,佚名《上邪》,除非高山变平地，除非滔滔江水干涸断流
43,少壮不努力，老大徒伤悲,5,3,佚名《长歌行》,年轻时不奋发图强，到老来悲伤也没用了
44,生年不满百，常怀千岁忧,5,3,佚名《生年不满百》,人生在世只有几十年，却有无限的忧虑苦愁
45,失我祁连山，使我六畜不蕃息,6,3,佚名《匈奴歌》,游牧民族失去了祁连山，牲畜不能繁殖
46,十五从军征，八十始得归,5,3,佚名《十五从军征》,十五岁时去当兵，到了年老的时候回家
47,始之易，终之难也,4,3,司马迁《史记·春申君列传》,事情开始的时候简单，要结束的时候困难
48,水何澹澹，山岛竦峙。,5,3,曹操《观沧海》,海水多么宽阔浩荡，海中山岛罗列，高耸挺立
49,水至清则无鱼，人至察则无徒,6,3,东方朔《答客难》,水如果太清就没鱼；人如果太精明就没伙伴
50,虽不能至，然心乡往之。,5,3,司马迁《孔子世家赞》,我虽然不能到达那里，但是心中一直向往它
51,天下熙熙，皆为利来,4,3,司马迁《史记·货殖列传》,揭示了经济行为中的一个基本动机:利益驱动
52,天下攘攘，皆为利往,4,3,司马迁《史记·货殖列传》,揭示了经济行为中的一个基本动机:利益驱动
53,迢迢牵牛星，皎皎河汉女,5,3,佚名《迢迢牵牛星》,牵牛星遥遥可见，织女星明亮皎洁
54,兔从狗窦入，雉从梁上飞,5,3,佚名《十五从军征》,房子破败，成了鸡兔的住所
55,王侯将相宁有种乎！,4,3,司马迁《史记·陈涉世家》,那些称王侯拜将相的人，生下来就如此？
56,我欲与君相知，长命无绝衰。,6,3,佚名《上邪》,我愿与你相爱，让我们的爱情永不衰绝
