id,wenzitext,errortext,clicktimes,tips1,tips2
1,余幼时即嗜学,3,3,宋濂《送东阳马生序(节选)》,我年幼时就非常爱好读书
2,落花有意随流水，流水无情恋落花,7,3,第一句：落花有意随流水,比喻一方有意，一方无情
3,箭在弦上，不得不发,4,3,第一句：箭在弦上,箭已搭在弦上，不得不发射
4,经一失长一智,3,3,形容人会在挫折中成长,经过一次损失，便增长一点智慧
5,货无大小，缺者便贵,4,3,第一句：货无大小,货物不管大小，缺少时就显得珍贵
6,花下销魂，月下销魂,4,3,唐寅《一剪梅·雨打梨花深闭门》,花下也黯然神伤，月下也黯然神伤
7,但愿苍生俱饱暖，不辞辛苦出山林,7,3,于谦《咏煤炭》,只是希望天下人，都能吃饱又穿暖
8,金玉其外，败絮其中,4,3,刘基《卖柑者言》,外表如金似玉、内心破败得像破棉絮
9,金玉其外，败絮其中,4,3,刘基《卖柑者言》,外表如金似玉、内心破败得像破棉絮
10,周郎妙计安天下，赔了夫人又折兵！,8,3,第一句：边蛇口中草,比喻想得利不成，反而遭受双重损失
11,一壶浊酒喜相逢,3,3,杨慎《临江仙·滚滚长江东逝水》,难得与友人重逢，痛快地畅饮一杯酒
12,今宵是除夕，明日又新年,5,3,于谦《除夕》,今晚是除夕之夜，明天就是新的一年
13,天下事，少年心分明点点深,6,3,王夫之《更漏子·本意》,天下大事，儿女情长，只能深埋在心中
14,军听了军愁，民听了民怕,5,3,王磐《朝天子·咏喇叭》,军队听了军队发愁，百姓听了百姓害怕
15,边蛇口中草，蝎子尾后针,5,3,第一句：周郎妙计安天下,蝮蛇口中的舌信，蝎子尾部的刺都有剧毒
16,世上的事只等你撞着，不等你算着,7,3,第一句：世上的事只等你撞着,世上的事情只有无心碰上，不容有意谋算
17,月华今夜黑，全见梨花白,5,3,夜暗月隐，梨花独明,今夜月光黯淡，却能清晰看见梨花的洁白
18,舌为利害本，口是祸福门,5,3,第一句：舌为利害本,舌是利益害处的根本，口是福气祸事之门
19,离愁万种，醉乡一夜头白,5,3,杨基《菩萨蛮·水晶帘外娟娟月》,满怀的离愁千万种，醉乡里一夜霜染双鬓
20,世上万般哀苦事，无非死别与生离,7,3,第一句：世上万般哀苦事,世上最令人伤心痛苦的事，莫过于生离死别
21,赵人患鼠，乞猫于中山,5,3,刘基《乞猫》,有一个赵国人家里发生了鼠患，到中山讨猫
22,桃花仙人种桃树，又折花枝当酒钱,7,3,唐寅《桃花庵歌》,桃花仙人种了桃树，又折下桃花枝去抵酒钱
23,桃花坞里桃花庵，桃花庵里桃花仙,7,3,唐寅《桃花庵歌》,桃花坞里有一桃花庵，桃花庵下有一桃花仙
24,桃花坞裏桃花庵，桃花庵裏桃花仙,7,3,唐寅《桃花庵歌》,桃花坞里有一桃花庵，桃花庵下有一桃花仙
25,桃花仙人种桃树，又摘桃花换酒钱,7,3,唐寅《桃花庵歌》,桃花仙人种了桃树，又折下桃花枝去抵酒钱
26,我也不登天子船，我也不上长安眠,7,3,唐寅《把酒对月歌》,我也不曾登上天子船，我也不曾到过长安眠
27,喇叭，唢呐，曲儿小腔儿大,6,3,王磐《朝天子·咏喇叭》,喇叭和唢呐，吹的曲子虽短，声音却很响亮
28,任你官清似水，难逃吏滑如油,6,3,第一句：任你官清似水,即使是清正的官员，也难免被狡猾的下属蒙蔽
29,中秋月月到中秋偏皎洁,5,3,徐有贞《中秋月·中秋月》,月亮到中秋节的时候显得比其他时候更加明亮
30,好梦欲成还又觉，绿窗但觉莺啼晓,7,3,施耐庵《蝶恋花·一别家山音信杳》,刚要做成好梦又被惊醒，纱窗外传来莺啼声声
31,江水三千里，家书十五行,5,3,袁凯《京师得家书》,绵绵的江水有三千里长，家书有十五行那么长
32,古今多少事，都付笑谈中,5,3,杨慎《临江仙·滚滚长江东逝水》,古往今来的纷纷扰扰，都成了饮酒闲谈的闲话
33,春风来不远，只在屋东头,5,3,于谦《除夜太原寒甚》,春风吹来已经离我们不远，已经吹到了屋东头
34,掩柴扉，谢他梅竹伴我冷书斋,6,3,沈自晋《玉芙蓉·雨窗小咏》,第一句：掩柴扉
35,酒醒只在花前坐，酒醉还来花下眠,7,3,唐寅《桃花庵歌》,第一句：酒醒只在花前坐
36,半醒半醉日复日，花落花开年复年,7,3,唐寅《桃花庵歌》,第一句：半醒半醉日复日
37,世人笑我忒风颠，我笑他人看不穿,7,3,唐寅《桃花庵歌》,第一句：世人笑我忒风颠
38,别人笑我忒风颠，我笑他人看不穿,7,3,唐寅《桃花庵歌》,第一句：别人笑我忒风颠
39,萋萋芳草小楼西，云压雁声低,6,3,刘基《眼儿媚·萋萋芳草小楼西》,第一句：萋萋芳草小楼西
40,立尽黄昏泪几行，一片鸦啼月,6,3,夏完淳《卜算子·秋色到空闺》,第一句：立尽黄昏泪几行
41,滚滚长江东逝水，浪花淘尽英雄,7,3,杨慎《临江仙·滚滚长江东逝水》,第一句：滚滚长江东逝水
42,有过则改之，未萌则戒之,5,3,知错就改，防患未然。,第一句：有过则改之
43,好时节，愿得年年，常见中秋月,7,3,徐有贞《中秋月·中秋月》,第一句：好时节
44,林下春晴风渐和，高崖残雪已无多,7,3,王守仁《春晴》,第一句：林下春晴风渐和
45,高筑墙，广积粮，缓称王,5,3,加强防御，储备资源，稳扎稳打。,第一句：高筑墙
46,青山依旧在，几度夕阳红,5,3,杨慎《临江仙·滚滚长江东逝水》,第一句：青山依旧在
47,故园今夕是元宵，独向蛮村坐寂寥,7,3,王守仁《元夕二首》,第一句：故园今夕是元宵
48,今夕为何夕，他乡说故乡,5,3,袁凯《客中除夕》,第一句：今夕为何夕
49,三年羁旅客，今日又南冠,5,3,夏完淳《别云间》,第一句：三年羁旅客
50,一年忧喜今宵过，两鬓风霜明日新,7,3,谢榛《除夕吴子充诸人集旅寓有感》,第一句：一年忧喜今宵过
51,封侯非我意，但愿海波平,5,3,戚继光《韬钤深处》,第一句：封侯非我意
52,李白能诗复能酒，我今百杯复千首,7,3,唐寅《把酒对月歌》,第一句：李白能诗复能酒
53,常将冷眼观螃蟹，看你横行得几时,7,3,冷静观察，看你能嚣张多久。,第一句：常将冷眼观螃蟹
54,功名富贵逐世转移，而气节千载一时,8,3,功名易逝，气节永存。,第一句：功名富贵逐世转移
55,黄花本是无情物，也共先生晚节香,7,3,于谦《过菊江亭》,第一句：黄花本是无情物
56,人生无百岁，百岁复如何,5,3,刘基《绝句·人生无百岁》,第一句：人生无百岁
57,低头羞见人，双手结裙带,5,3,毛铉《幼女词》,第一句：低头羞见人
58,有客开青眼，无人问落花,5,3,李贽《独坐》,第一句：有客开青眼
59,姑苏城外一茅屋，万树梅花月满天,7,3,唐寅《把酒对月歌》,第一句：姑苏城外一茅屋
60,活水源流随处满，东风花柳逐时新,7,3,于谦《观书》,第一句：活水源流随处满
61,草堂春睡足，窗外日迟迟,5,3,罗贯中《大梦谁先觉》,第一句：草堂春睡足
62,收灯庭院迟迟月，落索秋千翦翦风,7,3,杨慎《鹧鸪天·元宵后独酌》,第一句：收灯庭院迟迟月
63,去留无意，漫随天外云卷云舒,6,3,顺其自然，不计得失。,第一句：去留无意
64,已知泉路近，欲别故乡难,5,3,夏完淳《别云间》,第一句：已知泉路近
65,行行无别语，只道早还乡,5,3,袁凯《京师得家书》,第一句：行行无别语
66,历冰霜、不变好风姿，温如玉,6,3,陆容《满江红·咏竹》,第一句：历冰霜、不变好风姿
