id,wenzitext,errortext,clicktimes,tips1,tips2
1,人生若只如初见，何事秋风悲画扇,8,3,纳兰性德《木兰花·拟古决绝词柬友》,第一句：人生若只如初见
2,似此星辰非昨夜，为谁风露立中宵,8,3,黄景仁《绮怀十六首·其十五》,第一句：似此星辰非昨夜
3,一往情深深几许？深山夕照深秋雨,8,3,纳兰性德《蝶恋花·出塞》,第一句：一往情深深几许
4,苟利国家生死以，岂因祸福避趋之,8,3,林则徐《赴戍登程口占示家人二首》,第一句：苟利国家生死以
5,美人自古如名将，不许人间见白头,8,3,红颜名将难白头,第一句：美人自古如名将
6,一双冷眼看世人，满腔热血酬知己,8,3,冷眼看世，热血酬友,第一句：一双冷眼看世人
7,落红不是无情物，化作春泥更护花,8,3,龚自珍《己亥杂诗·其五》,第一句：落红不是无情物
8,莫唱当年长恨歌，人间亦自有银河,8,3,袁枚《马嵬》,第一句：莫唱当年长恨歌
9,暗昧处见光明世界，此心即白日青天,8,3,冷眼看世，热血酬友,第一句：暗昧处见光明世界
10,只解沙场为国死，何须马革裹尸还,8,3,徐锡麟《出塞》,第一句：只解沙场为国死
11,咬定青山不放松，立根原在破岩中,8,3,郑燮《竹石》,第一句：咬定青山不放松
12,世事洞明皆学问，人情练达即文章,8,3,冷眼看世，热血酬友,第一句：世事洞明皆学问
13,若似月轮终皎洁，不辞冰雪为卿热,8,3,纳兰性德《蝶恋花·辛苦最怜天上月》,第一句：若似月轮终皎洁
14,草长莺飞二月天，拂堤杨柳醉春烟,8,3,高鼎《村居》,第一句：草长莺飞二月天
15,相思了无益，悔当初相见,6,3,朱彝尊《忆少年·飞花时节》,第一句：相思了无益
16,江山代有才人出，各领风骚数百年,8,3,赵翼《论诗五首·其二》,第一句：江山代有才人出
17,人到情多情转薄，而今真个不多情,8,3,纳兰性德《山花子·风絮飘残已化萍》,第一句：人到情多情转薄
18,有花有酒春常在，无烛无灯夜自明,8,3,冷眼看世，热血酬友,第一句：有花有酒春常在
19,新竹高于旧竹枝，全凭老干为扶持,8,3,郑燮《新竹》,第一句：新竹高于旧竹枝
20,好风凭借力，送我上青云,6,3,曹雪芹《临江仙·柳絮》,第一句：好风凭借力
21,等闲变却故人心，却道故人心易变,8,3,纳兰性德《木兰花·拟古决绝词柬友》,第一句：等闲变却故人心
22,草木也知愁，韶华竟白头,6,3,曹雪芹《唐多令·柳絮》,第一句：草木也知愁
23,九州生气恃风雷，万马齐喑究可哀,8,3,龚自珍《己亥杂诗》,第一句：九州生气恃风雷
24,假作真时真亦假，无为有处有还无,8,3,冷眼看世，热血酬友,第一句：假作真时真亦假
25,一曲高歌一樽酒，一人独钓一江秋,8,3,王士祯《题秋江独钓图》,第一句：一曲高歌一樽酒
26,我自横刀向天笑，去留肝胆两昆仑,8,3,谭嗣同《狱中题壁》,第一句：我自横刀向天笑
27,相思相望不相亲，天为谁春,6,3,纳兰性德《画堂春·一生一代一双人》,第一句：相思相望不相亲
28,一生一代一双人，争教两处销魂,7,3,纳兰性德《画堂春·一生一代一双人》,第一句：一生一代一双人
29,千磨万击还坚劲，任尔东西南北风,8,3,郑燮《竹石》,第一句：千磨万击还坚劲
30,风淅淅，雨纤纤难怪春愁细细添,8,3,纳兰性德《赤枣子·风淅淅》,第一句：风淅淅
31,一别如斯，落尽梨花月又西,6,3,纳兰性德《采桑子·而今才道当时错》,第一句：一别如斯
32,一箫一剑平生意，负尽狂名十五年,8,3,龚自珍《漫感》,第一句：一箫一剑平生意
33,梅花雪，梨花月，总相思,6,3,张惠言《相见欢·年年负却花期》,第一句：梅花雪
34,纵然生得好皮囊，腹内原来草莽,7,3,虽然生就一副好面容，肚子里却没有半点学问,第一句：纵然生得好皮囊
35,情之所钟，虽丑不嫌,5,3,钟情于一个人，即使他长得丑也不嫌弃,第一句：情之所钟
36,万一禅关砉然破，美人如玉剑如虹,8,3,龚自珍《夜坐二首》,第一句：万一禅关砉然破
37,苔花如米小，也学牡丹开,6,3,袁枚《苔》,第一句：苔花如米小
38,儿童散学归来早，忙趁东风放纸鸢,8,3,高鼎《村居》,第一句：儿童散学归来早
39,西风多少恨，吹不散眉弯,6,3,纳兰性德《临江仙·寒柳》,第一句：西风多少恨
40,一月不读书，耳目失精爽,6,3,萧抡谓《读书有所见作》,第一句：一月不读书
41,微微风簇浪，散作满河星,6,3,查慎行《舟夜书所见》,第一句：微微风簇浪
42,最是秋风管闲事，红他枫叶白人头,8,3,赵翼《野步》,第一句：最是秋风管闲事
43,红泪偷垂，满眼春风百事非,6,3,纳兰性德《采桑子·而今才道当时错》,第一句：红泪偷垂
44,造物无言却有情，每于寒尽觉春生,8,3,张维屏《新雷》,第一句：造物无言却有情
45,半世浮萍随逝水，一宵冷雨葬名花,8,3,纳兰性德《山花子·林下荒苔道韫家》,第一句：半世浮萍随逝水
46,开到荼蘼花事了,4,3,荼靡花开过之后，人间再无芬芳,第一句：开到荼蘼花事了
47,白日不到处，青春恰自来,6,3,袁枚《苔》,第一句：白日不到处
48,花谢花飞花满天，红消香断有谁怜？,8,3,曹雪芹《葬花吟》,第一句：花谢花飞花满天
49,遥知独听灯前雨，转忆同看雪后山,8,3,纳兰性德《于中好·握手西风泪不干》,第一句：遥知独听灯前雨
50,浩荡离愁白日斜，吟鞭东指即天涯,8,3,龚自珍《己亥杂诗·其五》,第一句：浩荡离愁白日斜
51,些小吾曹州县吏，一枝一叶总关情,8,3,郑燮《潍县署中画竹呈年伯包大中丞括》,第一句：些小吾曹州县吏
52,十有九人堪白眼，百无一用是书生,8,3,黄景仁《杂感》,第一句：十有九人堪白眼
53,月黑见渔灯，孤光一点萤,6,3,查慎行《舟夜书所见》,第一句：月黑见渔灯
54,自是相思抽不尽，却教风雨怨秋声,8,3,郑板桥《咏芭蕉》,第一句：自是相思抽不尽
55,晨起开门雪满山，雪晴云淡日光寒,8,3,郑燮《山中雪后》,第一句：晨起开门雪满山
56,无我原非你，从他不解伊,6,3,冷眼看世，热血酬友,第一句：无我原非你
57,滥交朋友，不如终日读书,6,3,冷眼看世，热血酬友,第一句：滥交朋友
58,读书不下苦功，妄想显荣，岂有此理？,8,3,冷眼看世，热血酬友,第一句：读书不下苦功
59,我劝天公重抖擞，不拘一格降人材,8,3,龚自珍《己亥杂诗》,第一句：我劝天公重抖擞
60,任凭弱水三千，我只取一瓢饮,7,3,冷眼看世，热血酬友,第一句：任凭弱水三千
61,大丈夫处事，论是非，不论祸福,7,3,冷眼看世，热血酬友,第一句：大丈夫处事
62,而今才道当时错，心绪凄迷,6,3,纳兰性德《采桑子·而今才道当时错》,第一句：而今才道当时错
63,身后有馀忘缩手，眼前无路想回头,8,3,冷眼看世，热血酬友,第一句：身后有馀忘缩手
64,四时有不谢之花，八节有长青之草,8,3,冷眼看世，热血酬友,第一句：四时有不谢之花
65,一夜雨声凉到梦，万荷叶上送秋来,8,3,陈文述《夏日杂诗》,第一句：一夜雨声凉到梦
66,一日不读书，胸臆无佳想,6,3,萧抡谓《读书有所见作》,第一句：一日不读书
67,无材可去补苍天，枉入红尘若许年,8,3,冷眼看世，热血酬友,第一句：无材可去补苍天
68,非无脚下浮云闹，来不相知去不留,8,3,郑燮《题画兰》,第一句：非无脚下浮云闹
