id,wenzitext,errortext,clicktimes,tips1,tips2
1,八表同昏，平陆成江。,5,3,陶渊明《停云》,举目四顾昏沉色，水阻途断客不前
2,兵贵神速,2,3,陈寿《三国志·魏书·郭嘉传》,用兵贵在行动迅速
3,不探虎穴，安得虎子？,5,3,陈寿《三国志·吴书·吕蒙传》,不进老虎洞，就捉不到小老虎
4,采菊东篱下，悠然见南山,5,3,陶渊明《饮酒·其五》,在东篱下采摘菊花，悠然间看到远处的南山
5,此中有真意，欲辨已忘言,5,3,陶渊明《饮酒·其五》,这里面蕴含着真正意义，但是却已忘了去表达
6,淡泊以明志，宁静而致远,5,3,出自《淮南子·主术训》,淡泊、宁静的时候才能知道自己的长远志向
7,风来入房户，夜中枕席冷,5,3,陶渊明《杂诗》,白日沦西河，素月出东岭
8,风雪送余运，无妨时已和,5,3,陶渊明《蜡日》,风雪送余运，无妨时已和
9,冯公岂不伟，白首不见招。,6,3,左思《咏史》,冯唐难道还不算是个奇伟的人才吗
10,富贵非吾愿，帝乡不可期。,6,3,陶渊明《归去来兮辞》,富贵不是我所求，修成神仙是没有希望的
11,盖文章，经国之大业，不朽之盛事,7,3,曹丕形容文章很重要的话,文人相轻，自古而然
12,高山有崖，林木有枝。,5,3,曹丕《善哉行·其一》,每座山都有山崖，每棵树都有树枝
13,功业未及建，夕阳忽西流,5,3,刘琨《重赠卢谌》,功业还没来得及建立，人就老了
14,狗吠深巷中，鸡鸣桑树颠,5,3,陶渊明《归园田居·其一》,深深的街巷中传来狗吠声，树顶雄鸡在啼叫
15,故木秀于林，风必摧之,5,3,李康《运命论》,所以树木高出树林，风肯定会把它吹断
16,归去来兮，请息交以绝游,5,3,陶渊明《归去来兮辞》,余家贫，耕植不足以自给
17,好读书，不求甚解,4,3,陶渊明《五柳先生传》,喜欢读书，只领会要旨
18,每有会意，便欣然忘食,5,3,陶渊明《五柳先生传》,每次有所得，就开心得忘掉吃饭
19,何意百炼刚，化为绕指柔,5,3,刘琨《重赠卢谌》,百炼的钢铁，变成可以在指头上缠绕的柔丝
20,后之览者，亦将有感于斯文,6,3,王羲之《兰亭集序》,后面的人看到了，也可以感受到这篇文章
21,后之视今，亦犹今之视昔,5,3,王羲之《兰亭集序》,后人看待今人，也就像今人看待前人
22,计疑无定事，事疑无成功,5,3,诸葛亮《便宜十六策·察疑》,做事要果断，犹豫不决，事情就不会成功
23,皎皎云间月，灼灼叶中华。,6,3,陶渊明《拟古九首》,皎洁明月在云间，绿叶之中鲜艳花
24,结庐在人境，而无车马喧,5,3,陶渊明《饮酒·其五》,将房屋建造在人多的地方，却不受世俗的喧扰
25,今日乐，不可忘，乐未央。,6,3,曹丕《大墙上蒿行》,今日的欢乐不能够忘，人生的乐趣还没享尽
26,问君何能尔，心远地自偏,5,3,陶渊明《饮酒·其五》,表达了诗人超脱世俗、向往自然的态度和心境
27,今我不乐，岁月如驰,4,3,曹丕《善哉行·其一》,即使现在不快乐，时间也会一样流走
28,久在樊笼里，复得返自然,5,3,陶渊明《归园田居·其一》,久困于樊笼里毫无自由，我今日总算又归返林山
29,来日苦短，去日苦长,4,3,陆机《短歌行》,将来的日子是如此短暂，过去的日子是如此漫长
30,林中有奇鸟，自言是凤凰,5,3,阮籍《咏怀八十二首·其七十九》,据说在山间树林中有奇异的鸟，自己说是凤凰
31,宁饮建业水，不食武昌鱼。,6,3,佚名《吴孙皓初童谣》,宁愿喝建业的水，也不吃武昌的鱼
32,亲戚或余悲，他人亦已歌。,6,3,陶渊明《拟挽歌辞三首》,亲戚或许还悲哀，他人早忘已欢唱
33,茕茕孑立，形影相吊,4,3,西晋·李密《陈情表》,生活孤单没有依靠，每天和影子相互安慰
34,秋风起兮木叶飞，吴江水兮鲈正肥。,8,3,张翰《思吴江歌》,秋风乍起，落叶飘飞，吴江的鲈鱼新鲜又肥美
35,群贤毕至，少长咸集,4,3,王羲之《兰亭集序》,年长、年少的贤人都聚集在宴会
36,山气日夕佳，飞鸟相与还,5,3,陶渊明《饮酒·其五》,傍晚时分南山景致好，飞鸟结伴而还
37,少无适俗韵，性本爱丘山,5,3,陶渊明《归园田居·其一》,从小就喜爱大自然
38,盛年不重来，一日难再晨,5,3,陶渊明《杂诗十二首·其一》,第一句：青春一旦过去便不会再重来
39,误落尘网中，一去三十年,5,3,陶渊明《归园田居·其一》,错误地陷落到仕途罗网，远离田园已十余年
40,刑天舞干戚，猛志固常在。,6,3,陶渊明《读山海经十三首·其十》,刑天挥舞着盾斧，刚毅不屈的志向始终存在
41,一日复一夕，一夕复一朝,5,3,阮籍《咏怀》,夜中不能寐，起坐弹鸣琴
42,缘木求鱼，煎水作冰,4,3,陈寿《三国志·魏志·高堂隆传》,爬上树去找鱼，烧水造冰
43,江南无所有，聊赠一枝春,5,3,陆凯《赠范晔诗》,第一句是：江南无所有
44,池塘生春草，园柳变鸣禽,5,3,谢灵运《登池上楼》,池塘边长满了草，园中柳条上的鸣禽也变了
45,自古圣贤尽贫贱，何况我辈孤且直,7,3,鲍照《拟行路难·其六》,第一句意思：自古以来圣贤都生活得贫贱，
46,天地玄黄，宇宙洪荒,4,3,《千字文》中的内容,千字文的头两句
47,天似穹庐，笼盖四野。,5,3,佚名《敕勒歌》,辽阔的敕勒平原，就在阴山脚下
48,小时了了，大未必佳！,5,3,刘义庆《世说新语·言语第二》,小的时候很聪明，长大了未必很有才华
49,孔雀东南飞，五里一徘徊,5,3,佚名《孔雀东南飞》,孔雀像东南方飞去，每飞五里便是一阵徘徊
50,形在江海之上，心存魏阙之下,6,3,刘勰《⽂⼼雕龙·神思》,人在江湖上隐居，而内心却想着朝廷
51,乘兴而行，兴尽而返,4,3,王徽之夜雪访问老朋友说的话,乘着兴致去拜访朋友，兴致完了就返回来
52,天苍苍，野茫茫，风吹草低见牛羊,7,3,佚名《敕勒歌》,天空蔚蓝，草原无边无际，一片茫茫
53,以小人之虑，度君子之心,5,3,刘义庆《世说新语·雅量》,小人喜欢从自己触发去揣测别人的东西
54,大江流日夜，客心悲未央。,6,3,谢朓《暂使下都夜发新林至京邑赠西府同僚》,大江日夜奔流不息，骚客内心悲愤不已
55,覆巢之下，复有完卵乎？,5,3,孔融的儿子在孔融被捉后说的话,倾覆的鸟巢下面还有完整不碎的鸟蛋吗
56,树犹如此，人何以堪！,5,3,庾信《枯树赋》,树都衰老了，人又怎么能经受得了岁月
57,城门失火，殃及池鱼,4,3,《增广贤文·上集》,第一句是：殃及池鱼
58,日月盈昃，辰宿列张,4,3,《千字文》中的内容,第一句是：日月盈昃
59,寒来暑往，秋收冬藏,4,3,《千字文》中的内容,第一句是：寒来暑往
60,知过必改，得能莫忘,4,3,《千字文》中的内容,知道有过错，要改正；学到的学问，不要忘记
61,投躯报明主，身死为国殇,5,3,鲍照《代出自蓟北门行》,战士们为回报君主之恩，都奋力拼杀
62,父不慈则子不孝,3,3,《颜氏家训·治家篇》,父亲对儿子不慈祥，儿子就不会孝顺父亲
63,万里赴戎机，关山度若飞,5,3,佚名《木兰诗》,不远万里奔赴战场，跨过一道道的关隘
64,唧唧复唧唧，木兰当户织。,6,3,佚名《木兰诗》,叹息声一声接着一声，木兰对着房门织布
65,风吹草低见牛羊。,4,3,乐府诗集《敕勒歌》,那风吹到草低处，有一群群的牛羊时隐时现
66,将军百战死，壮士十年归,5,3,佚名《木兰诗》,将士们要么国捐躯，要么转战多年得胜归来
67,敕勒川，阴山下。,4,3,乐府诗集《敕勒歌》,辽阔的敕勒平原，就在阴山脚下
68,两相思，两不知,3,3,鲍照《代春日行》,两方都钟情于对方，但是互不不知道
69,徘徊庭树下，自挂东南枝,5,3,佚名《孔雀东南飞》,在庭院大树下徘徊，自己吊死在东南边的树枝
70,盲人骑瞎马，夜半临深池,5,3,刘义庆《世说新语·排调》,比喻如果盲目行动就将面临危险境况
