id,wenzitext,errortext,clicktimes,tips1,tips2
1,爱惜芳心莫轻吐，且教桃李闹春风。,8,3,元好问《同儿辈赋未开海棠·其二》,第一句是：爱惜芳心莫轻吐
2,多少恨，昨夜梦魂中,4,3,李煜《望江南·多少恨》,有多少遗恨呀，都在昨夜的梦魂中。
3,归时休放烛光红，待踏马蹄清夜月,7,3,李煜《玉楼春·晚妆初了明肌雪》,第一句是：归时休放烛光红
4,纤云弄巧，飞星传恨，银汉迢迢暗度,8,3,秦观《鹊桥仙·纤云弄巧》,第一句是：纤云弄巧
5,去年元夜时，花市灯如昼,5,3,欧阳修《生查子·元夕》,第一句是：去年元夜时
6,离多最是，东西流水，终解两相逢,7,3,晏几道《少年游·离多最是》,第一句是：离多最是
7,月儿弯弯照九州，几家欢乐几家愁,7,3,佚名《月儿弯弯照九州》,第一句是：月儿弯弯照九州
8,浊酒一杯家万里，燕然未勒归无计,7,3,范仲淹《渔家傲·秋思》,第一句是：浊酒一杯家万里
9,玄都观里桃千树，花落水空流。,7,3,元好问《人月圆·玄都观里桃千树》,第一句是：玄都观里桃千树
10,我断不思量，你莫思量我,5,3,谢直《卜算子·赠妓》,第一句是：我断不思量
11,愿我如星君如月，夜夜流光相皎洁,7,3,范成大《车遥遥篇》,第一句是：若是前生未有缘
12,落木千山天远大，澄江一道月分明,7,3,黄庭坚《登快阁》,第一句是：落木千山天远大
13,郁孤台下清江水，中间多少行人泪,7,3,辛弃疾《菩萨蛮·书江西造口壁》,抬头看西北方向的浮云，驾驭万里长空需长剑
14,连雨不知春去，一晴方觉夏深,6,3,范成大《喜晴》,第一句是：连雨不知春去
15,浮天水送无穷树，带雨云埋一半山,7,3,辛弃疾《鹧鸪天·送人》,第一句是：浮天水送无穷树
16,人生如逆旅，我亦是行人,5,3,苏轼《临江仙·送钱穆父》,人生就好似一家家旅舍，我也是匆匆过客
17,船上管弦江面渌，满城飞絮辊轻尘,7,3,李煜《望江南·闲梦远》,第一句是：船上管弦江面渌
18,凤凰山下雨初晴，水风清，晚霞明,7,3,苏轼《江城子·江景》,西窗下，微风吹动翠竹，疑是故人来
19,执手相看泪眼，竟无语凝噎,6,3,柳永《雨霖铃·寒蝉凄切》,墙角有几枝梅花，正冒着严寒独自盛开
20,相思似海深，旧事如天远,5,3,乐婉《卜算子·答施》,第一句是：相思似海深
21,沾衣欲湿杏花雨，吹面不寒杨柳风,7,3,志南《绝句》,第一句是：近水楼台先得月
22,梅须逊雪三分白，雪却输梅一段香,7,3,卢钺《雪梅》,第一句是：梅须逊雪三分白
23,江山风月，本无常主，闲者便是主人,8,3,苏轼《临皋闲题》,第一句是：江山风月
24,羡青山有思，白鹤忘机,5,3,汤恢《八声甘州·摘青梅荐酒》,第一句是：羡青山有思
25,清风明月无人管，并作南楼一味凉,7,3,黄庭坚《鄂州南楼书事》,非常像花又好像不是花，无人怜惜任凭坠地
26,佳人舞点金钗溜，酒恶时拈花蕊嗅,7,3,李煜《浣溪沙·红日已高三丈透》,第一句是：佳人舞点金钗溜
27,酒贱常愁客少，月明多被云妨,6,3,苏轼《西江月·中秋和子由》,第一句是：酒贱常愁客少
28,有情芍药含春泪，无力蔷薇卧晓枝,7,3,秦观《春日五首·其二》,第一句是：有情芍药含春泪
29,今宵酒醒何处？杨柳岸，晓风残月,7,3,柳永《雨霖铃·寒蝉凄切》,第一句是：今宵酒醒何处？杨柳岸
30,多谢月相怜，今宵不忍圆,5,3,朱淑真《菩萨蛮·山亭水榭秋方半》,第一句是：多谢月相怜
31,烛残漏断频欹枕，起坐不能平,6,3,李煜《乌夜啼·昨夜风兼雨》,第一句是：烛残漏断频欹枕
32,肠已断，泪难收相思重上小红楼,7,3,辛弃疾《鹧鸪天·代人赋》,相思之情说给谁听呢，薄情寡义的人无法体会
33,切切秋虫万古情，灯前山鬼泪纵横。,8,3,元好问《论诗三十首·十六》,第一句是：切切秋虫万古情
34,位卑未敢忘忧国，事定犹须待阖棺,7,3,陆游《病起书怀》,第一句是：位卑未敢忘忧国
35,鸳鸯被里成双夜，一树梨花压海棠,7,3,苏轼(一说佚名)《戏赠张先》,第一句是：鸳鸯被里成双夜
36,梅子黄时日日晴，小溪泛尽却山行,7,3,曾几《三衢道中》,我愤怒得头发竖了起来，帽子被顶飞了
37,分明一觉华胥梦，回首东风泪满衣,7,3,赵鼎《鹧鸪天·建康上元作》,第一句是：分明一觉华胥梦
38,黄河九天上，人鬼瞰重关。,6,3,元好问《水调歌头·赋三门津》,第一句是：黄河九天上
39,绿杨芳草长亭路年少抛人容易去,7,3,晏殊《玉楼春·春恨》,第一句是：绿杨芳草长亭路年少抛人容易去
40,从别后，忆相逢，几回魂梦与君同,7,3,晏几道《鹧鸪天·彩袖殷勤捧玉钟》,第一句是：从别后
41,欲寄彩笺兼尺素，山长水阔知何处？,8,3,晏殊《蝶恋花·槛菊愁烟兰泣露》,第一句是：欲寄彩笺兼尺素
42,味无味处求吾乐，材不材间过此生,7,3,辛弃疾《鹧鸪天·博山寺作》,第一句是：味无味处求吾乐
43,九死南荒吾不恨，兹游奇绝冠平生,7,3,苏轼《六月二十日夜渡海》,看着镜中头发花白的自己，惋惜逝去的时光
44,愿天上人间，占得欢娱，年年今夜,7,3,柳永《二郎神·炎光谢》,拨开积雪寻找初春的迹象，点亮灯火延续白日
45,等闲识得东风面，万紫千红总是春,7,3,朱熹《春日》,第一句是：等闲识得东风面
46,零落成泥碾作尘，只有香如故,6,3,陆游《卜算子·咏梅》,第一句是：零落成泥碾作尘
47,细雨梦回鸡塞远，小楼吹彻玉笙寒,7,3,李璟《摊破浣溪沙·菡萏香销翠叶残》,第一句是：细雨梦回鸡塞远
48,梦里不知身是客，一晌贪欢,6,3,李煜《浪淘沙令·帘外雨潺潺》,第一句是：梦里不知身是客
49,懒向沙头醉玉瓶，唤君同赏小窗明,7,3,陆游《浣溪沙·和无咎韵》,画境如梦归家乡，寸幅之中展尽千里河山
50,古来豪侠数幽并，鬓星星，竟何成！,8,3,元好问《江城子·醉来长袖舞鸡鸣》,第一句是：古来豪侠数幽并
51,相见争如不见，多情何似无情,6,3,司马光《西江月·宝髻松松挽就》,第一句是：相见争如不见
52,云散月明谁点缀？天容海色本澄清,7,3,苏轼《六月二十日夜渡海》,第一句是：云散月明谁点缀？天容海色本澄清
53,不畏浮云遮望眼，自缘身在最高层,7,3,王安石《登飞来峰》,少女发出动听的笑声，墙外的行人都可听见
54,问汝平生功业，黄州惠州儋州,6,3,苏轼《自题金山画像》,第一句是：问汝平生功业
55,沙上并禽池上暝，云破月来花弄影,7,3,张先《天仙子·水调数声持酒听》,去年元宵节的时候，花市被灯光照的如同白昼
56,可惜一溪风月，莫教踏碎琼瑶,6,3,苏轼《西江月·顷在黄州》,第一句是：可惜一溪风月
57,古今几度，生存华屋，零落山丘。,7,3,元好问《人月圆·玄都观里桃千树》,第一句是：古今几度
58,寄蜉蝣于天地，渺沧海之一粟,6,3,苏轼《赤壁赋》,第一句是：寄蜉蝣于天地
59,诗家总爱西昆好，独恨无人作郑笺。,8,3,元好问《论诗三十首·十二》,第一句是：诗家总爱西昆好
60,春闺月，红袖不须啼。,5,3,元好问《江月晃重山·初到嵩山时作》,春闺中的佳人，不必因相思而流泪
61,都来此事，眉间心上，无计相回避,7,3,范仲淹《御街行·秋日怀旧》,历经千古的江山，再难找到像孙权那样的英雄
