id,wenzitext,errortext,clicktimes,tips1,tips2
1,​益者三友，损者三友,5,3,应该交什么样的好友？,有益的朋友有三种，有害的朋友也有三种
2,哀莫大于心死,5,3,人最大的悲哀是精神上的麻木与愚钝,最可悲哀的事，莫过于思想顽钝，麻木不仁
3,窃钩者诛，窃国者侯,3,3,小偷小摸的人被逮到了一定会按律治罪,偷窃国家的人称霸一方，受世人景仰
4,筚路蓝缕，以启山林,7,3,形容创业的艰辛,简陋的车，穿着破烂的衣服去开辟山林
5,伯牙鼓琴，志在高山,3,3,伯牙鼓琴的故事,伯牙弹琴的时候，心里想的是高山
6,不吹毛而求小疵,4,3,比喻故意挑剔别人的缺点，寻找过错,不要去寻找人家的小疤痕，毛病
7,不患寡而患不均，不患贫而患不安,5,3,平等很重要,第一句是：不患寡而患不均
8,不积跬步，无以至千里,4,3,做事情不一点一点积累，就永远无法达成目的,不积累一步半步，就没有办法到达千里的地方
9,不积小流，无以成江海,5,3,做事情不一点一点积累，就永远无法达成目的,不积累小河流，就没有办法汇成江海
10,不义而富且贵，于我如浮云,3,3,不义之财我不要,通过不正当手段得来的财富和地位，如同浮云
11,不怨天，不尤人，下学而上达,6,3,要学会自我奋斗,不埋怨天，也不责备人，下学礼乐而上达天命
12,不在其位，不谋其政,7,3,不过问别人的事情,不在那个职位上，就不去考虑那个职位上的事
13,不知礼，无以立也,5,3,不懂礼义，不能立足于社会,孔子对君子提出的要求
14,仓廪实，则知礼节,6,3,管子中的名言,粮仓充实了，然后百姓们才能明白礼节
15,衣食足，则知荣辱,5,3,管子中的名言,丰衣足食了，然后百姓们才能形成荣辱观念
16,沧浪之水清兮，可以濯我缨,5,3,出处：沧浪歌,沧浪的水清澈时可以用来洗涤冠缨
17,黄钟毁弃，瓦釜雷鸣,6,3,出处：屈原·卜居,黄钟是很好的乐器，却被毁弃了
18,谗人高张，贤士无名,6,3,进谗言的小人喧嚣得意,贤明的廉士却默默无名
19,朝闻道，夕死可矣,4,3,人应当坚持不懈地学习,早上知道了真理，晚上死去也不觉得遗憾了
20,君子乐得其志，小人乐得其事,6,3,君子乐于实现自己的志向抱负,平凡人乐于做好自己愿意做的事情
21,出于其类，拔乎其萃,4,3,人的品德才能超出同类之上,能力，品德远超其它同仁
22,春生、夏长、秋收、冬藏,6,3,劝诫人们不要逆抗天道，应该尊重自然的规律,春季耕种、夏季生长、秋季收获、冬季储藏
23,从心所欲，不逾矩,4,3,七十岁人所具有的能力,以随心所欲却又不超出规矩
