id,wenzitext,errortext,clicktimes,tips1,tips2
1,醉后不知天在水，满船清梦压星河,8,3,唐珙《题龙阳县青草湖》,醉后分不清天与水，满船美梦映星河
2,平生不会相思，才会相思，便害相思,8,3,徐再思《蟾宫曲·春情》,平生不懂相思，懂了便成疾
3,枯藤老树昏鸦,3,3,马致远《天净沙·秋思》,枯藤老树栖昏鸦
4,松花酿酒，春水煎茶,5,3,张可久《人月圆·山中书事》,松花酿酒，春水煮茶
5,冰雪林中著此身，不同桃李混芳尘,8,3,王冕《白梅》,冰雪林中立身，不混桃李尘
6,山中何事？松花酿酒，春水煎茶,7,3,张可久《人月圆·山中书事》,山中无事，酿酒煮茶
7,庭前落尽梧桐，水边开彻芙蓉,7,3,朱庭玉《天净沙·秋》,庭前梧桐落尽，水边芙蓉开遍
8,疏星淡月秋千院，愁云恨雨芙蓉面,8,3,张可久《塞鸿秋·春情》,秋千院疏星淡月，芙蓉面愁云恨雨
9,青山绿水，白草红叶黄花,6,3,白朴《天净沙·秋》,青山绿水，白草红叶黄花
10,三千丈清愁鬓发，五十年春梦繁华,8,3,乔吉《折桂令·客窗清明》,半生春梦繁华，白发三千愁
11,西风吹老洞庭波，一夜湘君白发多,8,3,唐珙《题龙阳县青草湖》,西风吹皱洞庭水，湘君白发添
12,杨柳风柔，海棠月淡，独自倚阑时,8,3,萨都剌《小阑干·去年人在凤凰池》,杨柳柔风海棠月，独倚栏杆
13,八阵图名成卧龙，六韬书功在飞熊,8,3,查德卿《蟾宫曲·怀古》,卧龙八阵图，飞熊六韬功
14,云来山更佳，云去山如画,6,3,张养浩《雁儿落兼得胜令》,云来山更美，云去山如画
15,身似浮云，心如飞絮，气若游丝,7,3,徐再思《蟾宫曲·春情》,身如浮云，心似飞絮
16,功名半纸，风雪千山,5,3,张可久《殿前欢·客中》,功名如纸轻，风雪千山重
17,不要人夸好颜色，只留清气满乾坤,8,3,王冕《墨梅》,无需人夸色，但留清气存
18,人老去西风白发，蝶愁来明日黄花,8,3,张可久《蟾宫曲·九日》,人老西风白发，蝶愁明日黄花
19,荷花十里，清风鉴水，明月天衣,7,3,张可久《人月圆·会稽怀古》,十里荷风，水清月明
20,恋杀青山不去，青山未必留人,7,3,白朴《清平乐·朱颜渐老》,恋青山不去，青山未必留人
21,山，依旧好；人，憔悴了,6,3,陈草庵《中吕·山坡羊》,山依旧美，人已憔悴
22,竹影和诗瘦，梅花入梦香,6,3,王庭筠《绝句》,竹影瘦如诗，梅香入梦来
23,不要人夸颜色好，只留清气满乾坤,8,3,王冕《墨梅》,形容花香得脱俗
24,天将暮，雪乱舞，半梅花半飘柳絮,8,3,马致远《寿阳曲·江天暮雪》,天暮雪乱舞，半梅半柳絮
25,莺莺燕燕春春，花花柳柳真真,7,3,乔吉《天净沙·即事》,春莺燕舞，花柳成真
26,回首天涯，一抹斜阳，数点寒鸦,7,3,张可久《蟾宫曲·九日》,回首天涯，斜阳寒鸦
27,风雨替花愁风雨罢，花也应休,7,3,赵秉文《青杏儿·风雨替花愁》,风雨替花愁，花落终须休
